{'loss': 0.6622, 'learning_rate': 4.624463519313305e-05, 'epoch': 0.81}                                                                                                                                         
{'loss': 0.8309, 'learning_rate': 4.597639484978541e-05, 'epoch': 0.82}                                                                                                                                         
{'loss': 0.7213, 'learning_rate': 4.570815450643777e-05, 'epoch': 0.84}                                                                                                                                         
{'loss': 0.7445, 'learning_rate': 4.543991416309013e-05, 'epoch': 0.85}                                                                                                                                         
{'loss': 0.8401, 'learning_rate': 4.5171673819742494e-05, 'epoch': 0.86}                                                                                                                                        
{'loss': 0.6609, 'learning_rate': 4.4903433476394855e-05, 'epoch': 0.88}                                                                                                                                        
{'loss': 0.6978, 'learning_rate': 4.4635193133047216e-05, 'epoch': 0.89}                                                                                                                                        
{'loss': 0.7322, 'learning_rate': 4.436695278969957e-05, 'epoch': 0.9}                                                                                                                                          
{'loss': 0.6813, 'learning_rate': 4.409871244635193e-05, 'epoch': 0.91}                                                                                                                                         
{'loss': 0.7521, 'learning_rate': 4.383047210300429e-05, 'epoch': 0.93}                                                                                                                                         
{'loss': 0.8362, 'learning_rate': 4.356223175965665e-05, 'epoch': 0.94}                                                                                                                                         
{'loss': 0.6137, 'learning_rate': 4.3293991416309014e-05, 'epoch': 0.95}                                                                                                                                        
{'loss': 0.6636, 'learning_rate': 4.3025751072961375e-05, 'epoch': 0.96}                                                                                                                                        
{'loss': 0.7508, 'learning_rate': 4.2757510729613736e-05, 'epoch': 0.98}                                                                                                                                        
{'loss': 0.6462, 'learning_rate': 4.24892703862661e-05, 'epoch': 0.99}                                                                                                                                          
{'eval_loss': 0.9238092303276062, 'eval_accuracy': 0.4263959390862944, 'eval_runtime': 16.1889, 'eval_samples_per_second': 12.169, 'eval_steps_per_second': 12.169, 'epoch': 1.0}                               
{'loss': 0.5937, 'learning_rate': 4.222103004291846e-05, 'epoch': 1.0}                                                                                                                                          
{'loss': 0.8271, 'learning_rate': 4.195278969957082e-05, 'epoch': 1.02}
{'loss': 0.9658, 'learning_rate': 4.168454935622318e-05, 'epoch': 1.03}                                                                                                                                         
{'loss': 1.001, 'learning_rate': 4.1416309012875534e-05, 'epoch': 1.04}                                                                                                                                         
{'loss': 1.0051, 'learning_rate': 4.11480686695279e-05, 'epoch': 1.05}                                                                                                                                          
{'loss': 0.825, 'learning_rate': 4.0879828326180256e-05, 'epoch': 1.07}                                                                                                                                         
{'loss': 0.8417, 'learning_rate': 4.0611587982832624e-05, 'epoch': 1.08}                                                                                                                                        
{'loss': 0.6079, 'learning_rate': 4.034334763948498e-05, 'epoch': 1.09}                                                                                                                                         
{'loss': 0.7413, 'learning_rate': 4.0075107296137346e-05, 'epoch': 1.1}                                                                                                                                         
{'loss': 0.7277, 'learning_rate': 3.98068669527897e-05, 'epoch': 1.12}                                                                                                                                          
{'loss': 0.7337, 'learning_rate': 3.953862660944206e-05, 'epoch': 1.13}                                                                                                                                         
{'loss': 0.7816, 'learning_rate': 3.927038626609442e-05, 'epoch': 1.14}                                                                                                                                         
{'loss': 0.7671, 'learning_rate': 3.900214592274678e-05, 'epoch': 1.15}                                                                                                                                         
{'loss': 0.8581, 'learning_rate': 3.8733905579399144e-05, 'epoch': 1.17}                                                                                                                                        
{'loss': 0.7968, 'learning_rate': 3.84656652360515e-05, 'epoch': 1.18}                                                                                                                                          
{'loss': 0.7502, 'learning_rate': 3.8197424892703866e-05, 'epoch': 1.19}                                                                                                                                        
{'loss': 1.0459, 'learning_rate': 3.792918454935622e-05, 'epoch': 1.21}                                                                                                                                         
{'loss': 0.9433, 'learning_rate': 3.766094420600859e-05, 'epoch': 1.22}                                                                                                                                         
{'loss': 0.7365, 'learning_rate': 3.739270386266094e-05, 'epoch': 1.23}                                                                                                                                         
{'loss': 0.7453, 'learning_rate': 3.712446351931331e-05, 'epoch': 1.24}                                                                                                                                         
{'loss': 0.4602, 'learning_rate': 3.6856223175965664e-05, 'epoch': 1.26}                                                                                                                                        
{'loss': 0.7506, 'learning_rate': 3.6587982832618025e-05, 'epoch': 1.27}                                                                                                                                        
{'loss': 0.9736, 'learning_rate': 3.6319742489270386e-05, 'epoch': 1.28}                                                                                                                                        
{'loss': 0.8019, 'learning_rate': 3.605150214592275e-05, 'epoch': 1.29}                                                                                                                                         
{'loss': 0.5892, 'learning_rate': 3.578326180257511e-05, 'epoch': 1.31}                                                                                                                                         
{'loss': 0.9639, 'learning_rate': 3.551502145922747e-05, 'epoch': 1.32}                                                                                                                                         
{'loss': 0.4853, 'learning_rate': 3.524678111587983e-05, 'epoch': 1.33}                                                                                                                                         
{'loss': 0.7426, 'learning_rate': 3.497854077253219e-05, 'epoch': 1.35}                                                                                                                                         
{'loss': 0.9912, 'learning_rate': 3.471030042918455e-05, 'epoch': 1.36}                                                                                                                                         
{'loss': 0.8403, 'learning_rate': 3.4442060085836914e-05, 'epoch': 1.37}                                                                                                                                        
